text,label,clean_text
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",offensive,bitch fuck u maybe youll get better just
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",offensive,fuck red malone man bitch ass niggah could you please use complete sentences
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",normal,why the eggplant emoji doey he say she looked like scream lmao
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",offensive,hennessey venom gt thats one sexy bitch
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",offensive,him seh me pussy wetter then a shower curtainahmesehwetnessltlmao
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",offensive,eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",offensive,yo fuck skateboarding all yall some wood pushing faggots man ball is life
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",normal,baby monkey bathtime a this is soooo adorable
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",offensive,i aint shit damn skippy lol
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",offensive,u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gtchance
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",offensive,rings mvps bitches lol
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",offensive,ppl talk bad about the ghettohood but as a kid growing up a nigga had funnnnnnn
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",offensive,the facts on tattoostattoo hes a pussy with not tattooing them nipples
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",offensive,rt bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",offensive,get worshiping bitch woof woof
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",offensive,wow rt im lost are those buttcheek piercings yeah shes a hoe
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",offensive,ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",hate,queer gaywad
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",offensive,faggot read my tweets after dat k it wasnt even funny lol
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",offensive,this bitch was so ungrateful fr lulwhore
"""@CASHandBOOBIES: I been kidnapped yo bitch""",offensive,i been kidnapped yo bitch
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",hate,alsarabsss hes a beaner smh you can tell hes a mexican
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",offensive,happy birthday nigs thanks yo
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",offensive,when ur teacher tells u that u have homework this bitch need to go
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",offensive,that nigga was eating that hoe lol hell yea lol john paul nigga said john paul
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",offensive,what would yall lil ugly bald headed bitches do if they stop making makeup amp weave
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",offensive,leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",offensive,going back to school sucks more dick than the hoes who attend it
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",offensive,on my way to fuck yo bitch me as a year old
"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",offensive,how come you never bring me food i dont have a car retard
"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",offensive,if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like prople
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",offensive,how bout them cowboys shutup pussy
"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",offensive,lmaooooooooooo this nigga ltbitch want likes for some depressing shitfoh
"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",offensive,girl you know i was spitting that g shit to you amp you was going lbvsbitch plz
"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",offensive,let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again
"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",offensive,harlem shake is just an excuse to go full retard for seconds
"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",offensive,amen miley but she dont need to act like a hoe just bc shes emotionally damaged foh
"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",offensive,having one loyal female is wayyyyy better than having hoes idc
"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",offensive,pussy licking pussy meow meow stopwhitepeople
"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",offensive,check out our th man cowboysnation even with all those faggot ny fans in the stands
"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",offensive,what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",offensive,im the bitch okay nudes pat wow
"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",hate,youre fucking gay blacklisted hoe holding out for tehgodclan anyway
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",offensive,the fuck be wrong with these bitches nobody knows
"""@Dietrich1892: Yall shut up:p"" make me bitch",offensive,yall shut upp make me bitch
"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",offensive,i hate a im pregnant type of bitch
"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",offensive,got bitches in the dm but i dont ever readem which is y your top
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",normal,baseball season for the win yankees this is where the love started
"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",offensive,little stupid as bitch i dont fuck with yoooooouuuu
"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",offensive,she really asked me that dead ass serious tho all i could say was bitch wheet lol
"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",normal,im an early bird and im a night owl so im wise and have worms
"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",normal,overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day
"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",normal,pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures
"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",offensive,aw fag dont tweet aw to me lol
"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",normal,as long as the lakers trash from now on i could careless and thats real cc hahaha
"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",offensive,i didnt say anything tho kiss me then faggot
"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",normal,this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup
"""@G27Status: I could go for a fat ass bitch on my lap"" same",offensive,i could go for a fat ass bitch on my lap same
"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",offensive,missed calls das yo po bitch twitter finna be screamn freemoneymelle
"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",offensive,ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao
"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",offensive,amo los pies fuck yeah
"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",offensive,these hoes be thinking meat wont slap they ass ainna bruh
"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",offensive,yall bitches wit no edges be doing the most talking
"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",offensive,yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",offensive,i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",offensive,if she kiss u with her eyes open watch that bitchlmfao
"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",offensive,you a woulda coulda shoulda ass hoe
"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",offensive,happy bday bitch ass nigga preciate that bitch roll up
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",offensive,used to send that bitch up
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",offensive,ugly bitches be like im my own wcw duh bitch you aint nobody elses
"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",offensive,nigga you know we hacky sack hoes nah i throw no look passes lmao
"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",offensive,glad im getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em
"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",normal,this isnt ghettoits smart im doing this idc
"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",offensive,i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place
"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",offensive,being single isnt an excuse to be a hoe
"""@HoskinsTy96: White boy power bitch"" black power bitch",offensive,white boy power bitch black power bitch
"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",offensive,lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill
"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",offensive,bitch where u been around the world and back where you been
"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",offensive,if i dont get my dick sucked at yo party by a bad bitch im fr gone set it off by
"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",offensive,oomf is soooo cute but he probably has hoes on him a lot
"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",offensive,in every cartoon theirs alway a saving these hoes lmao lmao damn captain saveahoe
"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",normal,who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs
"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",offensive,i wish i was a bitch like my brother keezy ooooow i bet you do
"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",offensive,if you dressed up as a cat for halloween you are basic or a pussy
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",offensive,can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katielt
"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",offensive,stop being scared to choke her during sex u bitch ass niggas shell like it says the guy who hits women out of bed foh
"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",offensive,ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",offensive,oh man its am you off a molly ho where the fuck ya seed at fixed
"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",offensive,youre not a man if you refer to every girl as a bitch
"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",offensive,lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",normal,peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash
"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",offensive,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",offensive,naw its my old tape new cover my upcoming mixtape is kingofthehill yeah im waiting on that hoe mayne
"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",offensive,ol dirty foot ass bitches this was too funny to me
"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",offensive,thats where i get my yellow flags for being amazing hell yeah niggy
"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",offensive,dont got time for bitches to be actin iffy
"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",normal,ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut
"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",offensive,these hoes aint loyal no they aint smfh amp wonder why nobody decent wants them
"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",offensive,bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",offensive,dry pussy bitches always blame it on the condom
"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",offensive,shut yo bitch ass up
"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",offensive,gucci mane in jail and dropping mixtapes every month and you hoes cant even text back
"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",offensive,you love these hoes more then money wats wrong these niggas
"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",offensive,a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",offensive,easy cum easy hoe thats a fact
"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",offensive,charlie sheen is too real major fucking respect for charlie sheen
"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",offensive,wish i had a bae you got all the hoes tho
"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",offensive,fuck twerking bitch can you cook
"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",offensive,bitch wtf
"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",offensive,shut up zoe fight me pussy for zoe im good man you are good maam move along now
"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",offensive,lmao fucking snake bitches em
"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",offensive,big booty hoes everywhere sheesh damn
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",normal,stay tuned to for an update on the report that b will be out weeks bum
"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",normal,i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao
"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",offensive,oregon chokes every year get off the field trash ass program rft
"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",offensive,def not cowboy lol rt terrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo
"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",hate,lmfaoooo i hate black people this is why theres black people and niggers
"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",offensive,how could u do this to me bitch potent
"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",normal,a pissed lad past out i would lick his dirty soles while he slept
"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",normal,love frat boy w soft long soles
"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",normal,sexy lad with hot soles and arches
"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",offensive,nah fam i gotta cheat with the hoes depends on the female i feel
"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",normal,i got hicks lol
"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",offensive,this new twitter is confusing the shit out of me go back to south america bitch
